popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,202733,2021-04-13,0.66,0.701,10,-4.649,0,0.0405,0.00112,0.00016,0.0871,0.436,96.002
0,168240,2021-04-13,0.633,0.91,7,-2.912,1,0.136,0.0353,0.0,0.141,0.689,116.996
0,201740,2021-04-13,0.679,0.586,1,-7.006,0,0.0567,0.0176,3.11e-06,0.128,0.196,149.969
0,205280,2021-04-13,0.666,0.423,0,-8.012,1,0.0429,0.494,0.0,0.106,0.154,129.893
0,127201,2019-10-31,0.441,0.036,7,-20.51,1,0.0326,0.931,0.0549,0.113,0.0375,99.189
0,297502,2017-01-06,0.67,0.645,10,-14.65,0,0.154,0.00596,0.211,0.0755,0.614,174.02
0,215291,2018-02-03,0.544,0.766,10,-6.829,1,0.0432,0.000136,3.05e-06,0.171,0.404,130.926
0,152533,2018-02-03,0.34,0.926,9,-3.391,0,0.0688,7.31e-05,0.142,0.109,0.756,166.063
0,201656,2018-02-03,0.655,0.897,7,-4.84,1,0.0803,0.0599,0.0,0.0968,0.459,114.028
0,189653,2021-04-09,0.803,0.356,5,-9.026,0,0.0326,0.589,0.0,0.16,0.739,106.95
0,212869,2021-04-13,0.813,0.554,9,-6.631,1,0.0544,0.315,0.0,0.105,0.86,148.011
0,286720,2020-05-03,0.606,0.778,10,-6.233,0,0.157,0.71,0.0,0.349,0.826,94.881
0,163125,2018-09-28,0.467,0.849,11,-2.274,0,0.0871,0.205,0.0,0.472,0.339,127.985
0,227370,2014-03-25,0.682,0.832,9,-5.444,1,0.112,0.306,0.0,0.0923,0.399,97.519
0,214067,2018-02-03,0.511,0.874,11,-7.575,0,0.0314,0.00855,0.0116,0.0887,0.911,128.789
0,281547,2015-04-23,0.595,0.53,9,-8.153,1,0.0255,0.116,0.000122,0.11,0.632,109.691
0,186619,2017-09-22,0.363,0.638,9,-6.76,1,0.027,0.00279,0.0497,0.115,0.231,151.455
0,212062,2017-09-22,0.404,0.902,2,-4.68,0,0.0649,6.24e-05,1.08e-06,0.241,0.503,100.939
0,270000,2017-03-31,0.745,0.56,7,-4.848,1,0.0315,0.24,0.0,0.134,0.358,112.987
0,212000,2017-03-31,0.742,0.782,2,-4.315,1,0.0594,0.0048,1.24e-05,0.0567,0.824,140.987
0,539467,2011-01-11,0.734,0.621,7,-8.467,1,0.0645,0.0268,0.16,0.0638,0.356,130.002
0,172363,2017-02-19,0.536,0.787,9,-6.011,1,0.0541,0.199,8.89e-05,0.273,0.693,125.102
0,236059,2016-11-09,0.81,0.379,10,-7.816,1,0.0458,0.373,0.0,0.188,0.366,119.852
0,239534,2020-01-27,0.739,0.333,10,-10.331,1,0.0835,0.264,0.0,0.378,0.395,119.858
0,239534,2016-12-23,0.739,0.333,10,-10.331,1,0.0835,0.264,0.0,0.378,0.395,119.858
0,234109,2017-09-22,0.515,0.758,4,-4.715,1,0.0366,0.00121,0.00208,0.248,0.601,119.131
0,289487,2020-05-25,0.6,0.464,9,-13.324,1,0.0272,0.00511,0.0072,0.0759,0.272,135.885
0,195955,2018-09-28,0.663,0.896,6,-3.327,1,0.0358,0.0439,7.31e-06,0.277,0.262,109.968
0,274861,2020-02-07,0.758,0.561,5,-7.44,1,0.0456,0.0811,4.88e-05,0.0396,0.894,139.993
0,182839,2012-12-08,0.641,0.314,2,-7.718,1,0.0289,0.907,4.16e-06,0.0857,0.479,92.072
0,289254,2012-12-12,0.424,0.535,2,-8.879,1,0.034,0.0264,0.000231,0.095,0.262,183.943
0,261883,2012-12-12,0.541,0.491,4,-9.673,1,0.0269,0.11,0.446,0.136,0.331,148.059
0,246909,2014-09-09,0.638,0.0661,4,-24.176,1,0.889,0.619,0.0,0.213,0.241,140.329
0,144627,2017-11-17,0.206,0.99,10,-3.565,1,0.13,0.00176,8.07e-05,0.335,0.666,187.433
0,210808,2012-08-18,0.234,0.586,9,-4.552,1,0.0355,0.45,0.0146,0.336,0.103,84.089
0,292827,2016-05-20,0.414,0.99,0,-3.945,1,0.0624,8.86e-05,0.0402,0.295,0.404,152.866
0,337000,2014-07-14,0.557,0.384,9,-16.364,0,0.0497,0.277,0.00117,0.0745,0.381,80.008
0,166693,2013-10-07,0.471,0.33,4,-14.094,1,0.0248,0.903,0.14,0.109,0.338,98.991
0,199365,2012-02-06,0.733,0.575,10,-8.781,1,0.12,0.0727,0.216,0.0558,0.634,168.077
0,234040,2020-02-14,0.546,0.901,4,-3.793,0,0.0518,0.000424,0.0554,0.2,0.766,124.971
0,294361,2018-10-17,0.442,0.411,2,-7.236,1,0.0336,0.84,7.3e-06,0.361,0.0927,105.812
0,317173,2014,0.268,0.56,1,-8.31,1,0.0366,0.233,0.0,0.0996,0.296,94.77
0,317173,2014,0.268,0.56,1,-8.31,1,0.0366,0.233,0.0,0.0996,0.296,94.77
0,332320,2014,0.522,0.567,8,-7.047,1,0.03,0.627,0.0,0.107,0.272,97.825
0,322507,2014,0.539,0.559,8,-6.915,1,0.031,0.647,0.0,0.103,0.27,97.909
0,332440,2018-04-20,0.509,0.543,8,-8.106,1,0.0305,0.657,0.0,0.0921,0.278,97.823
0,322507,2014,0.505,0.55,8,-6.876,1,0.0307,0.659,0.0,0.102,0.275,97.819
